0,Result,Health,Is_Chest_Taken,Algorithm,Time,Score
1,True,85,True,expectimax,4.49425506591797,45
2,True,56,True,expectimax,4.60602617263794,90
3,True,46,True,expectimax,4.62895083427429,115
4,True,60,True,expectimax,5.08787250518799,115
5,False,0,True,expectimax,5.40031981468201,230
6,True,5,True,expectimax,4.58902859687805,120
7,False,0,False,expectimax,5.1613073348999,165
8,True,29,True,expectimax,6.15480875968933,145
9,False,-5,True,expectimax,4.41367053985596,190
10,True,16,True,expectimax,4.01303291320801,185
11,True,47,True,expectimax,8.21336793899536,215
12,True,33,True,expectimax,6.95014691352844,205
13,True,50,True,expectimax,4.6403603553772,80
14,True,27,True,expectimax,12.9583947658539,180
15,False,-4,False,expectimax,3.7673511505127,130
16,True,55,True,expectimax,5.51433348655701,70
17,True,13,True,expectimax,7.30405902862549,240
18,False,-4,False,expectimax,4.28027319908142,105
19,False,0,True,expectimax,4.81645560264587,120
20,True,41,True,expectimax,9.05072999000549,230
21,True,49,True,expectimax,6.01811599731445,150
22,True,59,True,expectimax,5.5111677646637,180
23,True,50,True,expectimax,4.97487020492554,170
24,False,0,True,expectimax,5.44324207305908,195
25,False,-1,True,expectimax,6.26311016082764,210
26,True,71,True,expectimax,3.74567294120789,60
27,True,36,True,expectimax,9.78592777252197,75
28,False,-9,False,expectimax,3.6934552192688,110
29,True,33,True,expectimax,7.3513720035553,105
30,False,-1,True,expectimax,5.86799788475037,165
31,True,54,True,expectimax,6.2699248790741,90
32,True,19,True,expectimax,6.08442091941834,180
33,True,15,True,expectimax,4.9764986038208,120
34,True,19,True,expectimax,6.99452924728394,145
35,True,26,True,expectimax,8.96619009971619,160
36,True,58,True,expectimax,7.09969282150269,90
37,False,0,True,expectimax,5.1981942653656,145
38,False,0,True,expectimax,5.39633107185364,200
39,True,27,True,expectimax,8.36715197563171,200
40,True,38,True,expectimax,7.08783864974976,115
41,True,41,True,expectimax,3.92279839515686,160
42,True,39,True,expectimax,6.23053622245789,145
43,True,87,False,expectimax,2.63749647140503,40
44,False,-1,True,expectimax,6.34048199653626,165
45,True,28,True,expectimax,6.45560765266418,170
46,True,3,True,expectimax,6.71776819229126,205
47,True,45,True,expectimax,4.59859204292297,135
48,True,40,True,expectimax,4.44315695762634,120
49,True,20,True,expectimax,4.92137384414673,165
50,True,8,True,expectimax,7.56979513168335,195
51,True,25,True,expectimax,5.22110819816589,165
52,False,-4,True,expectimax,4.45320701599121,160
53,False,-1,True,expectimax,5.74120664596558,185
54,False,0,True,expectimax,9.85057711601257,220
55,True,5,True,expectimax,4.43426418304443,155
56,True,35,True,expectimax,5.23793268203735,145
57,True,39,True,expectimax,6.05094456672668,185
58,True,35,True,expectimax,5.71302056312561,190
59,True,51,True,expectimax,4.47214794158936,80
60,False,-1,True,expectimax,5.68310642242432,215
61,True,25,True,expectimax,4.97246909141541,150
62,True,14,True,expectimax,5.94790434837341,160
63,True,18,True,expectimax,7.18991160392761,110
64,True,44,True,expectimax,6.28730058670044,135
65,False,0,True,expectimax,4.60838866233826,200
66,True,98,False,expectimax,2.08979392051697,0
67,True,26,True,expectimax,3.93988084793091,245
68,False,-1,True,expectimax,5.68411898612976,195
69,True,19,True,expectimax,6.39095616340637,130
70,True,28,True,expectimax,6.58586692810059,190
71,True,75,True,expectimax,4.5444803237915,130
72,True,23,True,expectimax,6.61396908760071,175
73,True,39,True,expectimax,5.51939797401428,160
74,True,45,True,expectimax,4.79791736602783,135
75,False,-1,True,expectimax,5.58113360404968,165
76,True,25,True,expectimax,4.81692600250244,190
77,True,55,False,expectimax,5.12304615974426,75
78,True,50,True,expectimax,4.78957438468933,120
79,False,-1,False,expectimax,5.97831296920776,145
80,True,18,True,expectimax,7.03011012077332,150
81,False,-9,False,expectimax,3.99911832809448,110
82,False,-1,True,expectimax,6.69865918159485,240
83,False,-2,True,expectimax,6.68566393852234,140
84,False,-1,True,expectimax,6.29695653915405,130
85,False,-3,True,expectimax,3.47483515739441,165
86,True,33,True,expectimax,6.57196807861328,180
